2019-12-30 15:44:06 INFO     Arguments:
2019-12-30 15:44:06 INFO     	dataset = coco2017
2019-12-30 15:44:06 INFO     	backbone = resnet50
2019-12-30 15:44:06 INFO     	data_dir = ./data
2019-12-30 15:44:06 INFO     	outputs_dir = ./outputs
2019-12-30 15:44:06 INFO     	resume_checkpoint = None
2019-12-30 15:44:06 INFO     	image_min_side = 800.0
2019-12-30 15:44:06 INFO     	image_max_side = 1333.0
2019-12-30 15:44:06 INFO     	anchor_ratios = None
2019-12-30 15:44:06 INFO     	anchor_sizes = [64, 128, 256, 512]
2019-12-30 15:44:06 INFO     	pooler_mode = None
2019-12-30 15:44:06 INFO     	rpn_pre_nms_top_n = None
2019-12-30 15:44:06 INFO     	rpn_post_nms_top_n = None
2019-12-30 15:44:06 INFO     	anchor_smooth_l1_loss_beta = 0.1111
2019-12-30 15:44:06 INFO     	proposal_smooth_l1_loss_beta = None
2019-12-30 15:44:06 INFO     	batch_size = 4
2019-12-30 15:44:06 INFO     	learning_rate = 0.005
2019-12-30 15:44:06 INFO     	momentum = None
2019-12-30 15:44:06 INFO     	weight_decay = 0.0001
2019-12-30 15:44:06 INFO     	step_lr_sizes = [24000, 32000]
2019-12-30 15:44:06 INFO     	step_lr_gamma = None
2019-12-30 15:44:06 INFO     	warm_up_factor = None
2019-12-30 15:44:06 INFO     	warm_up_num_iters = None
2019-12-30 15:44:06 INFO     	num_steps_to_display = None
2019-12-30 15:44:06 INFO     	num_steps_to_snapshot = 8000
2019-12-30 15:44:06 INFO     	num_steps_to_finish = 36000
2019-12-30 15:44:06 INFO     
Config:
	ANCHOR_RATIOS = [(1, 2), (1, 1), (2, 1)]
	ANCHOR_SIZES = [64, 128, 256, 512]
	ANCHOR_SMOOTH_L1_LOSS_BETA = 0.1111
	BATCH_SIZE = 4
	IMAGE_MAX_SIDE = 1333.0
	IMAGE_MIN_SIDE = 800.0
	LEARNING_RATE = 0.005
	MOMENTUM = 0.9
	NUM_STEPS_TO_DISPLAY = 20
	NUM_STEPS_TO_FINISH = 36000
	NUM_STEPS_TO_SNAPSHOT = 8000
	POOLER_MODE = Mode.ALIGN
	PROPOSAL_SMOOTH_L1_LOSS_BETA = 1.0
	RPN_POST_NMS_TOP_N = 2000
	RPN_PRE_NMS_TOP_N = 12000
	STEP_LR_GAMMA = 0.1
	STEP_LR_SIZES = [24000, 32000]
	WARM_UP_FACTOR = 0.3333
	WARM_UP_NUM_ITERS = 500
	WEIGHT_DECAY = 0.0001

2019-12-30 15:44:08 INFO     Found 28158 samples
2019-12-30 15:44:14 INFO     Start training with 1 GPUs (4 batches per GPU)
2019-12-30 15:44:28 INFO     [Step 20] Avg. Loss = 1.959861, Learning Rate = 0.00179317 (5.76 samples/sec; ETA 6.9 hrs)
2019-12-30 15:44:37 INFO     [Step 40] Avg. Loss = 1.381039, Learning Rate = 0.00192651 (8.72 samples/sec; ETA 4.6 hrs)
2019-12-30 15:44:46 INFO     [Step 60] Avg. Loss = 1.121900, Learning Rate = 0.00205985 (8.66 samples/sec; ETA 4.6 hrs)
2019-12-30 15:44:55 INFO     [Step 80] Avg. Loss = 1.005557, Learning Rate = 0.00219319 (8.62 samples/sec; ETA 4.6 hrs)
2019-12-30 15:45:05 INFO     [Step 100] Avg. Loss = 0.946581, Learning Rate = 0.00232653 (8.56 samples/sec; ETA 4.7 hrs)
2019-12-30 15:45:14 INFO     [Step 120] Avg. Loss = 0.703651, Learning Rate = 0.00245987 (8.55 samples/sec; ETA 4.7 hrs)
2019-12-30 15:45:23 INFO     [Step 140] Avg. Loss = 0.731215, Learning Rate = 0.00259321 (8.66 samples/sec; ETA 4.6 hrs)
2019-12-30 15:45:33 INFO     [Step 160] Avg. Loss = 0.782163, Learning Rate = 0.00272655 (8.56 samples/sec; ETA 4.7 hrs)
2019-12-30 15:45:42 INFO     [Step 180] Avg. Loss = 0.824625, Learning Rate = 0.00285989 (8.47 samples/sec; ETA 4.7 hrs)
2019-12-30 15:45:52 INFO     [Step 200] Avg. Loss = 0.848464, Learning Rate = 0.00299323 (8.55 samples/sec; ETA 4.7 hrs)
2019-12-30 15:46:01 INFO     [Step 220] Avg. Loss = 0.856898, Learning Rate = 0.00312657 (8.50 samples/sec; ETA 4.7 hrs)
2019-12-30 15:46:10 INFO     [Step 240] Avg. Loss = 0.829977, Learning Rate = 0.00325991 (8.46 samples/sec; ETA 4.7 hrs)
2019-12-30 15:46:20 INFO     [Step 260] Avg. Loss = 0.820304, Learning Rate = 0.00339325 (8.51 samples/sec; ETA 4.7 hrs)
2019-12-30 15:46:29 INFO     [Step 280] Avg. Loss = 0.802727, Learning Rate = 0.00352659 (8.55 samples/sec; ETA 4.6 hrs)
2019-12-30 15:46:38 INFO     [Step 300] Avg. Loss = 0.777133, Learning Rate = 0.00365993 (8.58 samples/sec; ETA 4.6 hrs)
2019-12-30 15:46:48 INFO     [Step 320] Avg. Loss = 0.749085, Learning Rate = 0.00379327 (8.45 samples/sec; ETA 4.7 hrs)
2019-12-30 15:46:57 INFO     [Step 340] Avg. Loss = 0.722997, Learning Rate = 0.00392661 (8.41 samples/sec; ETA 4.7 hrs)
2019-12-30 15:47:07 INFO     [Step 360] Avg. Loss = 0.696889, Learning Rate = 0.00405995 (8.54 samples/sec; ETA 4.6 hrs)
2019-12-30 15:47:16 INFO     [Step 380] Avg. Loss = 0.679680, Learning Rate = 0.00419329 (8.54 samples/sec; ETA 4.6 hrs)
